date,temp_average,temp_max,curah_hujan,penyinaran_matahari,kelembaban_average,kec_angin_average,arah_angin_most,arah_angin,weather_encoded
01/01/2018,26.5,30.4,30.5,38,87,5.2,270.0,280,2
02/01/2018,26.7,31.0,2.2,50,85,5.3,315.0,320,1
03/01/2018,27.8,32.2,0.7,100,84,5.1,315.0,320,1
04/01/2018,25.5,30.8,2.2,13,89,3.0,315.0,70,1
05/01/2018,27.5,31.2,2.1,39,86,4.4,180.0,310,1
06/01/2018,26.4,31.8,0.0,13,84,3.7,180.0,350,0
07/01/2018,26.8,31.6,1.2,38,87,4.8,135.0,270,1
08/01/2018,26.5,33.2,0.8,78,82,4.0,180.0,320,1
09/01/2018,26.1,30.6,11.4,50,91,4.5,180.0,10,1
10/01/2018,25.0,28.0,4.3,0,92,5.9,270.0,310,1
11/01/2018,25.8,31.2,2.2,25,75,8.2,270.0,310,1
12/01/2018,26.3,31.6,2.2,61,67,9.6,270.0,310,1
13/01/2018,25.4,28.4,2.2,0,79,7.6,270.0,310,1
14/01/2018,25.1,30.8,2.2,0,82,6.2,270.0,300,1
15/01/2018,26.7,32.0,0.0,100,75,7.7,270.0,310,0
16/01/2018,27.6,32.8,0.0,86,72,6.2,270.0,300,0
17/01/2018,27.6,32.2,2.2,65,78,5.0,180.0,360,1
18/01/2018,27.9,32.1,0.5,65,78,5.7,315.0,300,1
19/01/2018,27.2,29.4,0.0,3,83,4.6,180.0,340,0
20/01/2018,28.1,32.9,24.9,44,79,4.7,315.0,270,2
21/01/2018,25.7,31.0,0.5,38,85,4.2,315.0,320,1
22/01/2018,27.5,30.6,0.0,0,81,4.7,315.0,280,0
23/01/2018,28.4,32.0,0.0,88,79,6.4,315.0,300,0
24/01/2018,27.5,33.0,0.0,88,81,7.0,315.0,300,0
25/01/2018,28.2,32.4,0.0,100,74,5.2,315.0,300,0
26/01/2018,28.3,32.9,0.0,65,75,4.6,315.0,310,0
27/01/2018,28.5,32.8,0.0,69,75,5.2,315.0,310,0
28/01/2018,28.6,32.4,43.5,13,77,5.2,315.0,230,2
29/01/2018,26.5,32.0,0.3,44,81,3.6,180.0,300,1
30/01/2018,28.5,31.8,14.0,63,79,5.3,315.0,350,2
31/01/2018,26.9,32.0,0.0,39,79,2.9,315.0,350,0
01/02/2018,28.1,34.0,20.8,100,83,6.4,180.0,230,2
02/02/2018,25.1,30.2,3.2,11,89,5.1,315.0,320,1
03/02/2018,26.5,30.4,15.4,48,86,4.8,315.0,330,2
04/02/2018,26.9,31.4,3.5,100,79,5.4,180.0,350,1
05/02/2018,24.9,29.4,26.5,34,91,4.2,270.0,300,1
06/02/2018,25.8,29.2,2.2,38,82,5.4,180.0,310,1
07/02/2018,26.6,29.8,2.2,30,79,5.1,180.0,350,1
08/02/2018,26.4,30.2,0.9,13,82,5.0,180.0,30,1
09/02/2018,26.3,29.6,0.0,41,81,6.3,180.0,10,0
10/02/2018,26.8,31.2,0.3,13,92,5.6,180.0,260,1
11/02/2018,25.9,30.0,0.0,61,81,4.3,180.0,360,0
12/02/2018,26.5,30.2,0.1,44,78,4.7,180.0,350,1
13/02/2018,26.9,31.4,0.0,74,81,4.7,180.0,320,0
14/02/2018,27.3,31.2,0.0,66,82,5.2,180.0,320,0
15/02/2018,27.4,33.0,8.7,100,77,7.2,270.0,260,2
16/02/2018,27.5,33.6,0.0,100,81,4.6,315.0,260,0
17/02/2018,27.1,30.8,12.2,25,88,4.1,180.0,330,1
18/02/2018,27.4,32.5,2.2,94,80,3.7,180.0,320,1
19/02/2018,26.8,31.4,26.3,58,88,3.9,180.0,300,2
20/02/2018,26.3,31.6,0.4,36,85,3.1,315.0,320,1
21/02/2018,26.7,32.0,54.3,35,87,3.0,180.0,170,2
22/02/2018,27.9,32.8,0.0,74,83,4.8,180.0,280,0
23/02/2018,25.4,27.8,34.3,10,94,3.4,225.0,320,2
24/02/2018,26.3,31.4,0.0,46,85,4.0,180.0,360,0
25/02/2018,26.3,30.0,3.1,25,88,4.1,315.0,350,1
26/02/2018,25.3,30.0,3.2,9,92,3.0,180.0,360,2
27/02/2018,27.0,31.0,4.0,28,84,3.3,315.0,310,1
28/02/2018,25.9,29.8,2.3,19,92,4.4,180.0,50,1
01/03/2018,26.6,31.0,34.5,20,89,2.8,135.0,260,2
02/03/2018,27.3,33.1,0.0,88,80,3.1,45.0,30,0
03/03/2018,26.9,32.6,13.1,54,89,4.6,45.0,160,2
04/03/2018,27.8,33.0,0.0,80,81,3.7,180.0,350,0
05/03/2018,25.7,30.2,0.7,25,93,4.6,270.0,250,2
06/03/2018,26.4,32.6,0.0,39,88,4.3,270.0,220,0
07/03/2018,27.0,32.0,2.2,48,79,4.9,315.0,320,1
08/03/2018,27.6,32.3,0.0,90,77,4.2,180.0,360,0
09/03/2018,26.4,31.0,1.3,43,91,4.1,180.0,320,1
10/03/2018,25.7,30.4,45.1,54,91,4.1,315.0,320,2
11/03/2018,25.7,28.2,18.5,0,93,4.3,270.0,20,1
12/03/2018,24.7,27.2,2.5,0,94,4.1,180.0,300,1
13/03/2018,26.7,31.2,2.0,36,84,3.9,315.0,330,1
14/03/2018,27.5,32.8,0.9,75,83,4.7,270.0,360,1
15/03/2018,33.0,33.0,0.0,79,82,4.3,90.0,90,0
16/03/2018,27.9,33.2,0.0,100,82,4.3,180.0,10,0
17/03/2018,26.7,32.4,22.2,59,87,3.6,135.0,250,2
18/03/2018,26.7,30.6,0.0,25,87,4.3,180.0,20,0
19/03/2018,28.5,33.6,7.2,76,78,3.6,135.0,340,2
20/03/2018,27.0,32.0,19.1,51,85,4.0,180.0,180,2
21/03/2018,25.4,32.5,25.7,54,90,5.4,315.0,160,2
22/03/2018,25.9,32.2,5.3,96,89,4.3,180.0,270,2
23/03/2018,26.4,32.0,2.9,56,85,4.2,45.0,20,2
24/03/2018,26.7,30.6,15.3,18,88,4.5,180.0,330,2
25/03/2018,25.8,31.2,16.5,31,86,3.8,270.0,240,1
26/03/2018,24.7,28.2,0.1,5,87,3.4,180.0,250,1
27/03/2018,27.9,33.2,38.3,78,90,4.9,315.0,330,1
28/03/2018,25.9,32.0,20.2,26,77,4.7,270.0,300,2
29/03/2018,26.4,31.0,5.7,25,91,3.3,315.0,320,2
30/03/2018,28.5,31.8,14.0,63,86,3.8,270.0,280,2
31/03/2018,27.5,33.2,9.3,100,79,4.4,315.0,270,2
01/04/2018,27.2,33.2,2.7,100,79,4.0,180.0,10,2
02/04/2018,28.2,33.0,13.6,90,82,5.3,315.0,320,2
03/04/2018,25.6,31.0,38.3,34,91,3.5,180.0,140,2
04/04/2018,26.4,31.0,1.5,38,86,3.7,45.0,140,1
05/04/2018,27.1,32.2,0.0,50,87,3.5,90.0,100,0
06/04/2018,27.5,34.0,0.0,95,82,3.6,45.0,100,0
07/04/2018,26.2,32.0,13.1,28,91,3.3,135.0,160,2
08/04/2018,25.4,29.4,26.7,30,96,3.7,180.0,140,0
09/04/2018,26.2,31.0,0.8,31,90,3.2,180.0,10,1
10/04/2018,26.2,32.0,0.0,74,89,3.5,180.0,50,0
11/04/2018,27.7,32.0,0.0,69,86,4.5,135.0,330,0
12/04/2018,25.7,30.1,2.7,34,94,3.3,180.0,130,2
13/04/2018,26.7,32.2,0.5,81,86,3.3,180.0,20,2
14/04/2018,26.8,31.9,5.7,78,90,3.8,225.0,100,1
15/04/2018,33.0,32.4,3.8,66,86,3.2,135.0,60,1
16/04/2018,26.6,31.6,49.9,59,90,3.8,225.0,360,2
17/04/2018,27.8,32.4,0.0,98,83,3.2,135.0,350,0
18/04/2018,26.4,30.4,21.7,30,95,3.1,270.0,260,2
19/04/2018,27.5,32.6,0.0,100,84,4.1,135.0,110,0
20/04/2018,27.3,30.0,0.0,38,89,4.5,270.0,260,0
21/04/2018,27.2,31.6,0.0,20,86,3.2,315.0,20,0
22/04/2018,27.3,33.2,0.0,69,86,3.3,225.0,330,0
23/04/2018,25.8,32.8,5.1,50,94,5.0,180.0,140,2
24/04/2018,27.3,31.2,2.2,21,86,3.8,225.0,250,1
25/04/2018,27.7,31.8,0.0,19,82,3.4,135.0,350,0
26/04/2018,27.7,33.4,38.3,100,85,5.1,135.0,340,2
27/04/2018,26.2,30.4,0.5,11,87,2.9,45.0,320,1
28/04/2018,28.2,32.2,0.0,34,85,3.1,135.0,160,0
29/04/2018,29.0,34.2,0.0,100,80,5.4,135.0,130,0
